user_id,signup_date,city,user_type,age_group
U0476,2026-08-16,Jaipur,Casual Traveler,25-34
U0477,2025-06-07,Bengaluru,Premium Cardholder,25-34
U0478,2025-02-28,Jaipur,Frequent Traveler,25-34
U0479,2025-05-08,Kolkata,Casual Traveler,25-34
U0480,2025-04-25,Mumbai,Frequent Traveler,25-34
U0481,2025-07-28,Delhi,Points Enthusiast,35-44
U0482,2026-06-10,Chennai,Points Enthusiast,35-44
U0483,2026-06-05,Mumbai,Frequent Traveler,25-34
U0484,2026-07-06,Kolkata,Points Enthusiast,35-44
U0485,2025-08-25,Hyderabad,Frequent Traveler,18-24
U0486,2025-10-08,Hyderabad,Casual Traveler,25-34
U0487,2025-12-25,Kolkata,Premium Cardholder,35-44
U0488,2025-07-20,Jaipur,Premium Cardholder,25-34
U0489,2025-10-05,Pune,Casual Traveler,18-24
U0490,2025-08-23,Pune,Casual Traveler,18-24
U0491,2026-05-09,Jaipur,Frequent Traveler,25-34
U0492,2025-01-04,Hyderabad,Points Enthusiast,45+
U0493,2026-03-18,Hyderabad,Premium Cardholder,25-34
U0494,2025-01-29,Chennai,Premium Cardholder,45+
U0495,2025-04-19,Hyderabad,Frequent Traveler,25-34
U0496,2025-03-16,Mumbai,Frequent Traveler,25-34
U0497,2025-05-26,Hyderabad,Frequent Traveler,25-34
U0498,2025-05-08,Bengaluru,Premium Cardholder,35-44
U0499,2025-02-11,Chennai,Casual Traveler,18-24
U0500,2025-12-22,Delhi,Casual Traveler,45+
