account_id,user_id,program,points_balance,account_type
A00523,U0161,Aeroplan,54393,Airline Loyalty
A00524,U0401,Axis EDGE,167246,Credit Card
A00525,U0198,Flying Blue,171508,Airline Loyalty
A00526,U0260,HDFC Rewards,52406,Airline Loyalty
A00527,U0148,Etihad Guest,68059,Airline Loyalty
A00528,U0240,Axis EDGE,152026,Credit Card
A00529,U0047,Aeroplan,87722,Credit Card
A00530,U0475,Axis EDGE,17356,Credit Card
A00531,U0399,Axis EDGE,133128,Airline Loyalty
A00532,U0198,Flying Blue,7187,Airline Loyalty
A00533,U0047,Axis EDGE,82243,Credit Card
A00534,U0078,Etihad Guest,40098,Credit Card
A00535,U0124,Amex Membership Rewards,157297,Credit Card
A00536,U0075,Flying Blue,139678,Credit Card
A00537,U0359,Etihad Guest,62620,Credit Card
A00538,U0137,Flying Blue,168900,Airline Loyalty
A00539,U0090,Etihad Guest,131270,Airline Loyalty
A00540,U0400,Aeroplan,162561,Credit Card
A00541,U0325,Etihad Guest,19387,Credit Card
A00542,U0500,ICICI Rewards,74463,Credit Card
A00543,U0061,Etihad Guest,138663,Credit Card
A00544,U0138,HDFC Rewards,96683,Credit Card
A00545,U0050,HDFC Rewards,67061,Credit Card
A00546,U0259,United MileagePlus,86257,Airline Loyalty
A00547,U0461,ICICI Rewards,66753,Credit Card
A00548,U0107,ICICI Rewards,89774,Credit Card
A00549,U0113,Amex Membership Rewards,147159,Airline Loyalty
A00550,U0350,ICICI Rewards,166888,Airline Loyalty
A00551,U0254,Amex Membership Rewards,28408,Credit Card
A00552,U0118,United MileagePlus,129116,Credit Card
A00553,U0493,United MileagePlus,136208,Credit Card
A00554,U0198,Aeroplan,22413,Airline Loyalty
A00555,U0337,HDFC Rewards,118650,Airline Loyalty
A00556,U0365,Etihad Guest,64500,Airline Loyalty
A00557,U0051,Etihad Guest,89514,Credit Card
A00558,U0245,HSBC Rewards,61358,Airline Loyalty
A00559,U0403,Flying Blue,71197,Credit Card
A00560,U0426,Aeroplan,168926,Credit Card
A00561,U0035,HSBC Rewards,81240,Credit Card
A00562,U0302,HSBC Rewards,21322,Credit Card
A00563,U0410,Axis EDGE,118053,Credit Card
A00564,U0499,Axis EDGE,11968,Airline Loyalty
A00565,U0069,HSBC Rewards,32518,Airline Loyalty
A00566,U0349,ICICI Rewards,56925,Credit Card
A00567,U0320,Flying Blue,116900,Credit Card
A00568,U0421,Aeroplan,98422,Credit Card
A00569,U0468,HSBC Rewards,6700,Credit Card
A00570,U0049,Etihad Guest,98782,Credit Card
A00571,U0405,Flying Blue,28199,Airline Loyalty
A00572,U0074,Axis EDGE,168187,Credit Card
A00573,U0192,Etihad Guest,10520,Credit Card
A00574,U0261,Axis EDGE,114814,Credit Card
A00575,U0356,Axis EDGE,172527,Airline Loyalty
A00576,U0070,Flying Blue,128364,Airline Loyalty
A00577,U0090,Axis EDGE,177677,Airline Loyalty
A00578,U0260,United MileagePlus,19955,Airline Loyalty
A00579,U0126,HDFC Rewards,149989,Credit Card
A00580,U0231,United MileagePlus,69925,Credit Card
A00581,U0295,HDFC Rewards,112216,Airline Loyalty
A00582,U0498,Axis EDGE,75269,Credit Card
A00583,U0419,Aeroplan,167026,Credit Card
A00584,U0129,Aeroplan,46458,Credit Card
A00585,U0280,HDFC Rewards,94037,Credit Card
A00586,U0313,Etihad Guest,157185,Credit Card
A00587,U0100,Flying Blue,104977,Credit Card
A00588,U0326,Axis EDGE,48939,Airline Loyalty
A00589,U0297,Flying Blue,34345,Credit Card
A00590,U0182,United MileagePlus,115107,Credit Card
A00591,U0174,Aeroplan,126866,Credit Card
A00592,U0316,ICICI Rewards,74166,Credit Card
A00593,U0364,United MileagePlus,102406,Credit Card
A00594,U0188,United MileagePlus,54298,Credit Card
A00595,U0057,HDFC Rewards,49942,Credit Card
A00596,U0031,Amex Membership Rewards,8453,Credit Card
A00597,U0084,United MileagePlus,107811,Credit Card
A00598,U0152,Axis EDGE,59935,Credit Card
A00599,U0473,HSBC Rewards,127439,Credit Card
A00600,U0036,HSBC Rewards,179442,Credit Card
A00601,U0213,Axis EDGE,13328,Credit Card
A00602,U0414,Amex Membership Rewards,20534,Airline Loyalty
A00603,U0408,Amex Membership Rewards,90280,Credit Card
A00604,U0364,HDFC Rewards,41320,Credit Card
A00605,U0106,Aeroplan,54170,Credit Card
A00606,U0414,Flying Blue,105546,Airline Loyalty
A00607,U0342,Amex Membership Rewards,85201,Airline Loyalty
A00608,U0220,ICICI Rewards,13640,Airline Loyalty
A00609,U0391,HDFC Rewards,166121,Airline Loyalty
A00610,U0163,Etihad Guest,141690,Credit Card
A00611,U0439,HDFC Rewards,137992,Airline Loyalty
A00612,U0220,United MileagePlus,48937,Credit Card
A00613,U0270,Flying Blue,148279,Credit Card
A00614,U0120,Etihad Guest,169044,Credit Card
A00615,U0394,Etihad Guest,146871,Credit Card
A00616,U0336,ICICI Rewards,164988,Airline Loyalty
A00617,U0400,ICICI Rewards,75463,Credit Card
A00618,U0182,ICICI Rewards,98500,Airline Loyalty
A00619,U0479,HDFC Rewards,42158,Credit Card
A00620,U0106,Flying Blue,89607,Credit Card
A00621,U0217,HDFC Rewards,124639,Credit Card
A00622,U0205,HSBC Rewards,76696,Credit Card
A00623,U0070,United MileagePlus,66510,Airline Loyalty
A00624,U0044,United MileagePlus,125076,Credit Card
A00625,U0329,ICICI Rewards,63692,Credit Card
A00626,U0301,HSBC Rewards,135841,Airline Loyalty
A00627,U0228,Amex Membership Rewards,20810,Credit Card
A00628,U0184,Amex Membership Rewards,141198,Airline Loyalty
A00629,U0107,ICICI Rewards,166081,Credit Card
A00630,U0084,HDFC Rewards,116718,Credit Card
A00631,U0338,ICICI Rewards,95932,Credit Card
A00632,U0250,Aeroplan,5192,Credit Card
A00633,U0363,Etihad Guest,41413,Credit Card
A00634,U0441,United MileagePlus,148888,Airline Loyalty
A00635,U0021,Amex Membership Rewards,44082,Airline Loyalty
A00636,U0196,Axis EDGE,70048,Airline Loyalty
A00637,U0178,Amex Membership Rewards,128130,Credit Card
A00638,U0417,United MileagePlus,55940,Credit Card
A00639,U0475,Etihad Guest,168202,Credit Card
A00640,U0007,United MileagePlus,45142,Credit Card
A00641,U0070,Axis EDGE,41468,Airline Loyalty
A00642,U0127,ICICI Rewards,166770,Credit Card
A00643,U0399,HSBC Rewards,146727,Credit Card
A00644,U0466,Axis EDGE,166147,Credit Card
A00645,U0160,United MileagePlus,145431,Airline Loyalty
A00646,U0248,United MileagePlus,134048,Credit Card
A00647,U0203,Aeroplan,47056,Credit Card
A00648,U0148,Aeroplan,56831,Credit Card
A00649,U0472,Flying Blue,64191,Credit Card
A00650,U0143,Aeroplan,126948,Credit Card
A00651,U0432,HDFC Rewards,169344,Credit Card
A00652,U0199,HSBC Rewards,113117,Airline Loyalty
A00653,U0405,Etihad Guest,19671,Credit Card
A00654,U0426,Axis EDGE,32048,Airline Loyalty
A00655,U0154,United MileagePlus,30963,Airline Loyalty
A00656,U0492,Flying Blue,48954,Airline Loyalty
A00657,U0376,Flying Blue,100430,Credit Card
A00658,U0384,Etihad Guest,5717,Credit Card
A00659,U0142,HSBC Rewards,16676,Credit Card
A00660,U0313,Axis EDGE,140506,Airline Loyalty
A00661,U0165,Amex Membership Rewards,123696,Credit Card
A00662,U0314,Aeroplan,135830,Airline Loyalty
A00663,U0021,ICICI Rewards,9994,Credit Card
A00664,U0082,Flying Blue,9234,Credit Card
A00665,U0069,Aeroplan,74300,Credit Card
A00666,U0131,Aeroplan,48949,Credit Card
A00667,U0087,HDFC Rewards,42405,Credit Card
A00668,U0218,HSBC Rewards,39872,Credit Card
A00669,U0421,ICICI Rewards,47215,Credit Card
A00670,U0472,Amex Membership Rewards,28185,Credit Card
A00671,U0305,United MileagePlus,179514,Credit Card
A00672,U0403,HDFC Rewards,46153,Credit Card
A00673,U0371,Aeroplan,82535,Credit Card
A00674,U0345,Aeroplan,138653,Airline Loyalty
A00675,U0341,ICICI Rewards,56717,Airline Loyalty
A00676,U0384,ICICI Rewards,7763,Airline Loyalty
A00677,U0396,ICICI Rewards,97910,Credit Card
A00678,U0445,Aeroplan,60480,Credit Card
A00679,U0425,Flying Blue,174831,Credit Card
A00680,U0161,Axis EDGE,123094,Credit Card
A00681,U0178,Aeroplan,161379,Credit Card
A00682,U0117,HDFC Rewards,16064,Airline Loyalty
A00683,U0196,HSBC Rewards,81848,Credit Card
A00684,U0383,Amex Membership Rewards,42548,Credit Card
A00685,U0490,United MileagePlus,173017,Airline Loyalty
A00686,U0327,Amex Membership Rewards,11476,Airline Loyalty
A00687,U0086,Aeroplan,95101,Airline Loyalty
A00688,U0289,HDFC Rewards,7382,Credit Card
A00689,U0081,Aeroplan,169474,Credit Card
A00690,U0152,HSBC Rewards,163018,Credit Card
A00691,U0061,Flying Blue,84698,Credit Card
A00692,U0061,United MileagePlus,158407,Credit Card
A00693,U0354,HSBC Rewards,50095,Credit Card
A00694,U0028,Aeroplan,134974,Airline Loyalty
A00695,U0442,HDFC Rewards,32197,Credit Card
A00696,U0043,HSBC Rewards,132619,Airline Loyalty
A00697,U0169,Etihad Guest,27010,Airline Loyalty
A00698,U0423,HDFC Rewards,160195,Credit Card
A00699,U0086,Flying Blue,92923,Airline Loyalty
A00700,U0177,Aeroplan,138962,Credit Card
A00701,U0017,ICICI Rewards,135526,Credit Card
A00702,U0098,United MileagePlus,114162,Airline Loyalty
A00703,U0454,Axis EDGE,125927,Credit Card
A00704,U0494,ICICI Rewards,13026,Airline Loyalty
A00705,U0198,Aeroplan,69925,Credit Card
A00706,U0098,Etihad Guest,73842,Credit Card
A00707,U0065,ICICI Rewards,38665,Credit Card
A00708,U0330,United MileagePlus,14277,Credit Card
A00709,U0341,HDFC Rewards,178311,Credit Card
A00710,U0005,Etihad Guest,53008,Airline Loyalty
A00711,U0002,Etihad Guest,19683,Airline Loyalty
A00712,U0022,HSBC Rewards,136742,Airline Loyalty
A00713,U0112,United MileagePlus,153961,Credit Card
A00714,U0057,ICICI Rewards,83542,Airline Loyalty
A00715,U0066,HSBC Rewards,59319,Airline Loyalty
A00716,U0330,Etihad Guest,97067,Airline Loyalty
A00717,U0098,HSBC Rewards,157711,Credit Card
A00718,U0144,Amex Membership Rewards,152705,Airline Loyalty
A00719,U0368,United MileagePlus,170732,Airline Loyalty
A00720,U0435,Flying Blue,73975,Credit Card
A00721,U0125,HDFC Rewards,168244,Airline Loyalty
A00722,U0167,Etihad Guest,106158,Credit Card
A00723,U0086,United MileagePlus,16577,Credit Card
A00724,U0076,Flying Blue,82299,Credit Card
A00725,U0344,Flying Blue,25176,Credit Card
A00726,U0495,Aeroplan,68972,Credit Card
A00727,U0424,HSBC Rewards,125018,Airline Loyalty
A00728,U0294,Flying Blue,177075,Credit Card
A00729,U0444,Amex Membership Rewards,24996,Airline Loyalty
A00730,U0059,United MileagePlus,105922,Airline Loyalty
A00731,U0138,Axis EDGE,91598,Credit Card
A00732,U0099,Axis EDGE,40931,Airline Loyalty
A00733,U0192,Etihad Guest,129168,Airline Loyalty
A00734,U0243,HSBC Rewards,171782,Airline Loyalty
A00735,U0319,Flying Blue,128099,Airline Loyalty
A00736,U0049,United MileagePlus,39693,Airline Loyalty
A00737,U0448,Etihad Guest,171812,Credit Card
A00738,U0032,ICICI Rewards,113944,Credit Card
A00739,U0391,Flying Blue,22374,Airline Loyalty
A00740,U0277,HSBC Rewards,86471,Credit Card
A00741,U0020,Axis EDGE,50913,Credit Card
A00742,U0154,Aeroplan,128683,Credit Card
A00743,U0383,United MileagePlus,49516,Airline Loyalty
A00744,U0068,HDFC Rewards,92796,Credit Card
A00745,U0366,Etihad Guest,31069,Airline Loyalty
A00746,U0372,United MileagePlus,123333,Credit Card
A00747,U0214,United MileagePlus,89811,Credit Card
A00748,U0143,Amex Membership Rewards,123028,Credit Card
A00749,U0376,ICICI Rewards,44178,Credit Card
A00750,U0232,Flying Blue,37821,Airline Loyalty
A00751,U0213,Flying Blue,21999,Airline Loyalty
A00752,U0079,HSBC Rewards,43712,Airline Loyalty
A00753,U0214,HDFC Rewards,176244,Credit Card
A00754,U0116,HDFC Rewards,38722,Credit Card
A00755,U0092,HSBC Rewards,15625,Airline Loyalty
A00756,U0270,Aeroplan,11859,Airline Loyalty
A00757,U0411,Flying Blue,177681,Credit Card
A00758,U0381,Aeroplan,179379,Credit Card
A00759,U0489,United MileagePlus,115986,Credit Card
A00760,U0168,United MileagePlus,26839,Airline Loyalty
A00761,U0058,Axis EDGE,32216,Airline Loyalty
A00762,U0284,HDFC Rewards,57953,Credit Card
A00763,U0026,Axis EDGE,54522,Credit Card
A00764,U0369,ICICI Rewards,140958,Airline Loyalty
A00765,U0447,HSBC Rewards,116249,Credit Card
A00766,U0066,HSBC Rewards,12485,Credit Card
A00767,U0409,United MileagePlus,167527,Credit Card
A00768,U0248,Flying Blue,152839,Credit Card
A00769,U0254,Aeroplan,117701,Credit Card
A00770,U0387,HDFC Rewards,164525,Airline Loyalty
A00771,U0456,Axis EDGE,107638,Airline Loyalty
A00772,U0044,Aeroplan,17226,Airline Loyalty
A00773,U0097,Axis EDGE,98405,Airline Loyalty
A00774,U0042,ICICI Rewards,27588,Credit Card
A00775,U0500,ICICI Rewards,167781,Airline Loyalty
A00776,U0227,Aeroplan,42019,Credit Card
A00777,U0262,Aeroplan,70133,Airline Loyalty
A00778,U0167,Aeroplan,119444,Airline Loyalty
A00779,U0436,Axis EDGE,122603,Credit Card
A00780,U0279,Amex Membership Rewards,163598,Credit Card
A00781,U0089,Aeroplan,133585,Credit Card
A00782,U0379,Flying Blue,48395,Credit Card
A00783,U0178,HDFC Rewards,160103,Credit Card
A00784,U0427,HDFC Rewards,130814,Airline Loyalty
A00785,U0403,Axis EDGE,173773,Airline Loyalty
A00786,U0197,Aeroplan,117599,Credit Card
A00787,U0307,United MileagePlus,30939,Credit Card
A00788,U0267,HSBC Rewards,156396,Credit Card
A00789,U0268,Amex Membership Rewards,158939,Airline Loyalty
A00790,U0074,Flying Blue,5203,Credit Card
A00791,U0008,United MileagePlus,152616,Credit Card
A00792,U0408,ICICI Rewards,151971,Credit Card
A00793,U0476,United MileagePlus,34063,Credit Card
A00794,U0297,Axis EDGE,95880,Credit Card
A00795,U0164,Amex Membership Rewards,8748,Airline Loyalty
A00796,U0485,Etihad Guest,122269,Credit Card
A00797,U0085,Etihad Guest,85764,Airline Loyalty
A00798,U0072,Aeroplan,156956,Credit Card
A00799,U0055,Aeroplan,161255,Airline Loyalty
A00800,U0393,Axis EDGE,113036,Airline Loyalty
