booking_id,user_id,result_id,search_id,booking_date,miles_used,taxes_paid_inr,status
B000410,U0471,R0002984,S002601,2026-05-13,34005,14940,Completed
B000411,U0406,R0000239,S000216,2026-01-11,92611,14510,Completed
B000412,U0223,R0004325,S003732,2026-04-20,154003,6826,Completed
B000413,U0231,R0000447,S000396,2026-07-26,64140,5052,Completed
B000414,U0455,R0005062,S004381,2026-01-12,83304,7490,Completed
B000415,U0253,R0002432,S002120,2026-02-21,56526,15096,Completed
B000416,U0004,R0003148,S002747,2026-06-11,33151,10199,Completed
B000417,U0031,R0002535,S002212,2026-06-28,53282,17065,Completed
B000418,U0455,R0005148,S004449,2026-05-03,53909,11188,Completed
B000419,U0340,R0001245,S001080,2026-02-16,84975,16096,Completed
B000420,U0016,R0000349,S000308,2026-08-08,111081,5443,Completed
B000421,U0306,R0001493,S001289,2026-03-19,35509,9300,Completed
B000422,U0069,R0000719,S000636,2026-02-20,69785,7897,Completed
B000423,U0176,R0003583,S003100,2026-02-01,73241,17518,Completed
B000424,U0006,R0005930,S005141,2026-03-27,115620,17664,Completed
B000425,U0169,R0005509,S004787,2026-04-17,27748,17335,Completed
B000426,U0269,R0005096,S004405,2026-08-25,197612,14290,Completed
B000427,U0261,R0002255,S001967,2026-07-22,137885,16493,Completed
B000428,U0185,R0003431,S002978,2026-01-16,52468,13258,Completed
B000429,U0058,R0001545,S001333,2026-02-21,126274,17683,Completed
B000430,U0450,R0000847,S000742,2026-08-06,103628,8248,Completed
B000431,U0157,R0004062,S003494,2026-01-11,51999,9405,Completed
B000432,U0332,R0003969,S003420,2026-05-09,148947,4219,Completed
B000433,U0423,R0004675,S004023,2026-03-16,72665,10748,Completed
B000434,U0322,R0004657,S004006,2026-07-22,66531,5378,Completed
B000435,U0119,R0002034,S001782,2026-05-20,83943,14832,Completed
B000436,U0425,R0003324,S002880,2026-02-15,77306,5018,Completed
B000437,U0199,R0001991,S001732,2026-07-07,52319,10122,Completed
B000438,U0195,R0002338,S002039,2026-06-16,95662,17169,Completed
B000439,U0275,R0000638,S000563,2026-06-04,138755,16128,Completed
B000440,U0223,R0003307,S002866,2026-02-15,189973,17037,Completed
B000441,U0123,R0000543,S000473,2026-08-12,117587,5612,Completed
B000442,U0339,R0001252,S001088,2026-06-09,117684,11687,Completed
B000443,U0374,R0002816,S002441,2026-08-13,116184,4869,Completed
B000444,U0289,R0003608,S003117,2026-05-18,44377,16739,Completed
B000445,U0290,R0004203,S003616,2026-05-28,42652,13201,Completed
B000446,U0212,R0005648,S004901,2026-02-14,33221,7306,Completed
B000447,U0201,R0006144,S005328,2026-04-12,49527,16869,Completed
B000448,U0408,R0006827,S005932,2026-02-03,112186,7169,Completed
B000449,U0231,R0006399,S005529,2026-08-23,141619,12777,Completed
B000450,U0170,R0006461,S005589,2026-07-27,42685,14359,Completed
B000451,U0015,R0002889,S002525,2026-06-09,38617,12406,Completed
B000452,U0392,R0006889,S005984,2026-03-27,61470,11544,Completed
B000453,U0038,R0000879,S000776,2026-03-21,31384,17657,Completed
B000454,U0388,R0003527,S003052,2026-04-09,107423,11052,Completed
B000455,U0105,R0004917,S004257,2026-02-22,49507,9727,Completed
B000456,U0123,R0004408,S003805,2026-07-08,59791,4842,Completed
B000457,U0014,R0001501,S001298,2026-03-22,33807,3935,Completed
B000458,U0173,R0003299,S002858,2026-01-03,132079,17848,Completed
B000459,U0256,R0001120,S000977,2026-06-28,49192,7601,Completed
B000460,U0336,R0004940,S004280,2026-03-08,39506,17697,Completed
B000461,U0221,R0004844,S004185,2026-03-14,45951,5205,Completed
B000462,U0196,R0003642,S003143,2026-02-25,135118,10617,Completed
B000463,U0094,R0000343,S000302,2026-07-26,31119,5894,Completed
B000464,U0327,R0003727,S003214,2026-05-07,26369,14125,Completed
B000465,U0360,R0004101,S003528,2026-01-04,61909,12672,Completed
B000466,U0165,R0001816,S001578,2026-01-12,120375,13119,Completed
B000467,U0473,R0004638,S003991,2026-02-19,36329,17081,Completed
B000468,U0348,R0001726,S001487,2026-07-12,128578,10195,Completed
B000469,U0359,R0006412,S005540,2026-06-23,79052,10943,Completed
B000470,U0381,R0005339,S004632,2026-06-02,80435,14432,Completed
B000471,U0413,R0002791,S002421,2026-03-05,50456,6602,Completed
B000472,U0445,R0004654,S004004,2026-02-24,42294,5646,Completed
B000473,U0172,R0001571,S001362,2026-07-21,102131,14245,Completed
B000474,U0169,R0001264,S001094,2026-07-23,95967,13590,Completed
B000475,U0236,R0006220,S005388,2026-03-30,38561,4029,Completed
B000476,U0225,R0000473,S000413,2026-04-05,57868,4593,Completed
B000477,U0473,R0002277,S001986,2026-04-01,75776,3852,Completed
B000478,U0157,R0000645,S000572,2026-07-19,185877,5932,Completed
B000479,U0353,R0001923,S001678,2026-08-02,31106,12438,Completed
B000480,U0138,R0006611,S005718,2026-05-13,60432,12801,Completed
B000481,U0030,R0002416,S002107,2026-02-14,119766,4145,Completed
B000482,U0191,R0000838,S000735,2026-04-06,64665,8994,Completed
B000483,U0323,R0002972,S002592,2026-07-22,49798,16703,Completed
B000484,U0032,R0003791,S003271,2026-04-13,147262,16623,Completed
B000485,U0270,R0002844,S002478,2026-04-28,44288,4953,Completed
B000486,U0248,R0006687,S005800,2026-08-05,65710,9407,Completed
B000487,U0332,R0001790,S001549,2026-08-01,52810,17843,Completed
B000488,U0246,R0003009,S002628,2026-07-17,64024,10984,Completed
B000489,U0076,R0006139,S005323,2026-05-15,94985,17645,Completed
B000490,U0446,R0001727,S001488,2026-04-22,131424,12788,Completed
B000491,U0261,R0005925,S005136,2026-06-26,26258,15215,Completed
B000492,U0293,R0005921,S005132,2026-02-06,27148,12168,Completed
B000493,U0368,R0004632,S003980,2026-03-19,142451,4965,Completed
B000494,U0424,R0005769,S004998,2026-03-25,28861,9826,Completed
B000495,U0367,R0003637,S003137,2026-03-08,119698,17477,Completed
B000496,U0009,R0005634,S004894,2026-07-24,37928,16293,Completed
B000497,U0320,R0006195,S005367,2026-04-20,37843,17969,Completed
B000498,U0090,R0006801,S005904,2026-06-09,72811,17112,Completed
B000499,U0254,R0003576,S003097,2026-03-13,114797,8860,Completed
B000500,U0423,R0000811,S000711,2026-04-04,66644,10894,Completed
B000501,U0256,R0000989,S000862,2026-05-06,35353,17319,Completed
B000502,U0336,R0002050,S001797,2026-05-30,210554,8171,Completed
B000503,U0307,R0002016,S001767,2026-04-12,81983,4176,Completed
B000504,U0425,R0004982,S004309,2026-05-29,39929,8640,Completed
B000505,U0054,R0002482,S002166,2026-04-25,46998,15573,Completed
B000506,U0328,R0000213,S000193,2026-06-24,83480,11333,Completed
B000507,U0268,R0002601,S002260,2026-06-06,64621,7436,Completed
B000508,U0165,R0005057,S004374,2026-06-14,47710,14003,Completed
B000509,U0011,R0001398,S001201,2026-05-28,62480,10694,Completed
B000510,U0483,R0001570,S001361,2026-02-19,48885,7192,Completed
B000511,U0337,R0003355,S002906,2026-01-17,44846,5906,Completed
B000512,U0337,R0002188,S001910,2026-03-05,148153,9855,Completed
B000513,U0375,R0004707,S004053,2026-02-12,143406,16350,Completed
B000514,U0195,R0006775,S005881,2026-05-23,47415,12949,Completed
B000515,U0264,R0000965,S000846,2026-06-27,118568,4691,Completed
B000516,U0265,R0000133,S000115,2026-02-11,112397,13886,Completed
B000517,U0240,R0001322,S001138,2026-04-14,103977,11459,Completed
B000518,U0389,R0001504,S001299,2026-08-26,46889,15652,Completed
B000519,U0179,R0004049,S003485,2026-04-05,41684,8625,Completed
B000520,U0432,R0002868,S002502,2026-08-03,132498,9975,Completed
B000521,U0263,R0000063,S000050,2026-05-18,166827,15428,Completed
B000522,U0032,R0004205,S003617,2026-04-13,25095,7720,Completed
B000523,U0250,R0006532,S005651,2026-07-21,30617,10328,Completed
B000524,U0068,R0004021,S003464,2026-01-30,119340,17802,Completed
B000525,U0356,R0000903,S000797,2026-01-15,31337,11646,Completed
B000526,U0098,R0002541,S002218,2026-07-03,33830,6185,Completed
B000527,U0097,R0005999,S005202,2026-03-19,63078,16763,Completed
B000528,U0428,R0000119,S000104,2026-03-03,60743,10856,Completed
B000529,U0487,R0002974,S002593,2026-05-31,37859,12668,Completed
B000530,U0341,R0004929,S004267,2026-07-18,52038,13960,Completed
B000531,U0172,R0001573,S001362,2026-07-22,131872,12543,Completed
B000532,U0478,R0003930,S003389,2026-03-29,50308,12611,Completed
B000533,U0402,R0001533,S001326,2026-07-02,46233,9550,Completed
B000534,U0272,R0006820,S005922,2026-02-17,78946,12000,Completed
B000535,U0395,R0004052,S003486,2026-03-10,49574,8717,Completed
B000536,U0333,R0002860,S002497,2026-04-03,27863,11315,Completed
B000537,U0063,R0003747,S003232,2026-06-07,133647,12644,Completed
B000538,U0496,R0005940,S005147,2026-07-10,160246,9398,Completed
B000539,U0162,R0002287,S001996,2026-06-14,34565,12319,Completed
B000540,U0022,R0003709,S003201,2026-08-18,62334,11041,Completed
B000541,U0245,R0000144,S000128,2026-04-15,212916,9607,Completed
B000542,U0015,R0001954,S001707,2026-02-15,138963,6674,Completed
B000543,U0131,R0003091,S002706,2026-07-05,61431,13777,Completed
B000544,U0017,R0002858,S002494,2026-08-22,40763,7557,Completed
B000545,U0070,R0003006,S002622,2026-03-07,39211,11265,Completed
B000546,U0428,R0003988,S003434,2026-04-24,87773,12981,Completed
B000547,U0100,R0003685,S003182,2026-03-27,48828,14334,Completed
B000548,U0158,R0003896,S003359,2026-05-29,25751,11095,Completed
B000549,U0244,R0002707,S002354,2026-04-04,87102,11114,Completed
B000550,U0106,R0001382,S001185,2026-08-09,51432,15919,Completed
B000551,U0430,R0004214,S003625,2026-06-09,141604,14819,Completed
B000552,U0341,R0004344,S003750,2026-06-27,43336,13793,Completed
B000553,U0443,R0005361,S004658,2026-03-23,57931,14073,Completed
B000554,U0301,R0002336,S002038,2026-02-06,113051,14029,Completed
B000555,U0099,R0004387,S003784,2026-06-04,27993,16896,Completed
B000556,U0376,R0006513,S005633,2026-07-07,39838,16664,Completed
B000557,U0447,R0005405,S004699,2026-08-06,84772,7574,Completed
B000558,U0223,R0005560,S004822,2026-08-31,49402,8789,Completed
B000559,U0014,R0003625,S003129,2026-07-27,52302,6114,Completed
B000560,U0447,R0005226,S004526,2026-03-08,51009,16382,Completed
B000561,U0403,R0000805,S000706,2026-07-12,131560,12392,Completed
B000562,U0254,R0003919,S003380,2026-01-03,96888,5326,Completed
B000563,U0294,R0004158,S003576,2026-05-29,118084,14625,Completed
B000564,U0263,R0004356,S003760,2026-05-13,45574,5150,Completed
B000565,U0272,R0006885,S005978,2026-08-25,71516,8708,Completed
B000566,U0054,R0005331,S004627,2026-02-12,50565,14970,Completed
B000567,U0048,R0003916,S003375,2026-07-21,83119,16798,Completed
B000568,U0389,R0004114,S003542,2026-01-13,38568,10716,Completed
B000569,U0342,R0004178,S003593,2026-07-08,46134,14095,Completed
B000570,U0357,R0000608,S000535,2026-02-17,65332,13379,Completed
B000571,U0242,R0003117,S002727,2026-02-03,138273,16314,Completed
B000572,U0030,R0004109,S003534,2026-03-19,114619,14113,Completed
B000573,U0367,R0004226,S003636,2026-02-16,138167,5605,Completed
B000574,U0075,R0004374,S003775,2026-06-20,44941,4369,Completed
B000575,U0490,R0000911,S000803,2026-04-01,52189,8070,Completed
B000576,U0144,R0003996,S003442,2026-01-26,28555,10196,Completed
B000577,U0314,R0004535,S003897,2026-07-12,32257,5601,Completed
B000578,U0331,R0003430,S002977,2026-04-22,99181,16786,Completed
